Song,Nation,Year,BPM,PhSp,ChCo,Peak
Acrid Abeyance - Magnetic Overture,Germany,1994,156.60511363636363,0.035,0.8440442595113851,-8.924840683631949
Acrid Abeyance - Minimalistic,Germany,1993,147.65625,0.025,0.8810920707789227,-12.580312306615593
Acrid Abeyance - Pacific Pace,Germany,1994,129.0,0.035,0.8771824419502655,-9.110653044333535
Acrid Abeyance - Resograde,Germany,1994,134.0,0.0375,0.9393023460349901,-8.680103492772822
Acrid Abeyance - Speed Freak,Germany,1994,160.0,0.04,0.9270406475221162,-7.477495033177959
Acrid Abeyance - The Fugitives,Germany,1994,151.99908088235293,0.0325,0.9155184547218821,-9.531799203388406
Acrid Abeyance - Tranquil,Germany,1993,122.0,0.0675,0.874485354657103,-3.2047589280096997
Act Of Fear - Lost In Love (Airplay Edit),Germany,1994,161.4990234375,0.06,0.7854529516425943,-4.096694665906059
Act of Fear - Lost in Love (Airplay Edit),Germany,1994,161.4990234375,0.06,0.7883071144227294,-3.930359010609416
Act Of Fear - Lost In Love (Container United DJ-Mix),Germany,1994,161.4990234375,0.0525,0.9381997247441196,-4.9277695065477305
Act of Fear - Lost in Love (Container United Mix),Germany,1994,172.265625,0.0625,0.728108641734249,-3.446950865706549
Act of Fear - Lost in Love (Legendary Edit),Germany,1994,161.4990234375,0.0375,0.7865377021354326,-8.547015519419654
Act Of Fear - Lost In Love (Legendary Edit),Germany,1994,161.4990234375,0.0625,0.7913595342702398,-3.8011591243146734
Afrotrance - Afrotrance - Thousand Of Miles,Germany,1993,139.6748310810811,0.0625,0.8654870341701937,-3.383501760267077
Afrotrance - Dance Of Strong Men,Germany,1993,151.99908088235293,0.0375,0.6850749129481034,-8.530704899763267
Afrotrance - Deep Into The Dream,Germany,1993,130.0,0.0425,0.9776343949091328,-7.364943459301862
Afrotrance - Flying Dreams -,Germany,1993,137.0,0.03,0.4948181737845973,-10.273459357645567
Afrotrance - Mental Vision,Germany,1993,138.0,0.0425,0.6673360920822405,-7.433150968353668
Afrotrance - Spiritual Energy,Germany,1993,139.6748310810811,0.0325,0.6858256674777229,-9.566018257529072
Afrotrance - Spiritual Energy,Germany,1994,139.6748310810811,0.0675,0.7238993378581656,-3.02173161499043
Age - Acre Of Brain,Germany,1993,147.65625,0.1,0.9833654933583058,0.0
Age - Age,Germany,1992,132.51201923076923,0.04,0.8310926497125819,-7.754059036489481
Age - Big E,Germany,1991,132.51201923076923,0.035,0.3362263253666096,-9.002633943119616
Age - Brainwash,Germany,1994,139.0,0.04,0.852288545373099,-6.516576407185297
Age - Darkhold,Germany,1993,139.6748310810811,0.0525,0.9138732825922404,-5.043311944347893
Age - Doomsday,Germany,1993,147.65625,0.0575,0.9518370575109392,-4.568648672752327
Age - Eight Sphere,Germany,1993,147.65625,0.055,0.8412590834611046,-5.04601687692979
Age - Eine Fremde Lebensform,Germany,1994,98.0,0.0375,0.9172475272304924,-8.596892848315568
Age - Imaginary Friend,Germany,1992,143.5546875,0.0275,0.7945165247269856,-11.235000396409632
Age - Infinity,Germany,1993,151.99908088235293,0.0725,0.8910331324917675,-2.452949957521078
Age - Lagrange Point L 5,Germany,1994,130.0,0.0275,0.9435559965358777,-10.957663511486723
Age - Lancet,Germany,1994,90.0,0.04,0.5564024252543921,-8.078371830584139
Age - Leviathan,Germany,1993,89.0,0.035,0.6192270350148066,-8.935115888181402
Age - Lichtspruch,Germany,1994,132.51201923076923,0.0325,0.8366041341344954,-9.993512323003458
Age - Limbo,Germany,1992,135.99917763157896,0.0375,0.965186569300944,-8.138435533104726
Age - Mindscope,Germany,1992,132.51201923076923,0.0275,0.9908142082020552,-11.507409596769094
Age - Modulate,Germany,1992,129.19921875,0.035,0.7845468687229455,-9.195350231781262
Age - Parallelwelt,Germany,1994,120.18531976744184,0.03,0.5957307714281979,-10.275122471764522
Age - Siege Of Darkness,Germany,1993,143.5546875,0.0475,0.8806455574061844,-6.073464034583225
Age - Skydiver (Demo Version),Germany,1994,128.0,0.025,0.7925336906026251,-12.755601902223546
Age - Sleepwalker,Germany,1992,132.51201923076923,0.0325,0.8057404626572665,-9.414676553587348
Age - Strange Insight,Germany,1993,147.0,0.0725,0.8665557709891516,-2.665085803549049
Age - Subway,Germany,1992,135.99917763157896,0.05,0.9463814031869998,-5.876378600584752
Age - The Inner Fear,Germany,1993,129.19921875,0.04,0.8024194395045109,-7.732796184376864
Age - Third Sphere,Germany,1993,147.65625,0.055,0.8412590834611046,-5.04601687692979
Age - Trans-Form,Germany,1994,132.51201923076923,0.02,0.9443233605585044,-14.035249840979805
Age - Trope,Germany,1991,135.99917763157896,0.0625,0.9564662379699082,-4.098724386878011
Age - Trope (Acid Mix),Germany,1994,135.99917763157896,0.0425,0.918900903832585,-7.412340964402736
Age - Trope (Take 3),Germany,1994,135.99917763157896,0.03,0.9095582722205,-10.921616105393376
Age - Trope II,Germany,1991,132.51201923076923,0.045,0.8528273349810161,-6.600989109353213
Age - Underground,Germany,1992,143.5546875,0.0475,0.9461041584228798,-6.489401479733312
Age - Wonderland,Germany,1994,143.5546875,0.025,0.6954263501073157,-12.208680754656474
Age - Zeitsprung,Germany,1994,80.0,0.0375,0.5978190994693343,-8.357857287199943
AIIZ - Twin Mechanism,Germany,1993,139.6748310810811,0.0375,0.9392009622227827,-8.74990318446775
Air Liquide - Auroral Belt,Germany,1994,145.0,0.03,0.8123706071716099,-10.535461554557234
Air Liquide - Coffeine,Germany,1992,151.99908088235293,0.0325,0.776429375335862,-9.791417033327022
Air Liquide - Ek-Stasis,Germany,1994,138.0,0.035,0.7702590645197646,-9.145805767091366
Air Liquide - If There Was No Gravity,Germany,1994,126.0,0.035,0.642362765909257,-9.019838914655988
Air Liquide - Imago,Germany,1993,147.65625,0.0325,0.9471168143816047,-9.493536474029687
Air Liquide - Liquide Men With Liquid Heads,Germany,1992,140.0,0.0425,0.9313036466505036,-7.657712108657336
Air Liquide - Mandragora,Germany,1993,134.0,0.0775,0.9691411868283424,-1.886427482707904
Air Liquide - Psy 9,Germany,1992,146.0,0.045,0.7536015247188587,-6.941730829236521
Air Liquide - Revelation,Germany,1992,146.0,0.045,0.8080986773752721,-6.646628189797499
Air Liquide - Robot Wars (Combat Zone Part I),Germany,1994,124.0,0.0325,0.9090063568133298,-9.65904104205215
Air Liquide - Robot Wars (Combat Zone Part II),Germany,1994,108.0,0.0325,0.8476055970895241,-9.624453483783348
Air Liquide - Sonority Canon,Germany,1994,131.0,0.0425,0.9473531865379388,-7.038508924741491
Air Liquide - Space Brothers,Germany,1994,120.0,0.025,0.9204189917933336,-12.482792964023467
Air Liquide - Stratus Static,Germany,1994,104.0,0.0325,0.9427066540876935,-9.497743033597665
Air Liquide - Sun Progress,Germany,1992,135.99917763157896,0.0375,0.05851965741954745,-8.446713781555987
Air Liquide - Synsonic,Germany,1994,132.51201923076923,0.04,0.9465936966361723,-7.83523186584264
Air Liquide - Tanz Der Lemminge 2,Germany,1992,120.0,0.035,0.8365355607607251,-9.362475926893554
Air Liquide - The Increased Difficulty Of Concentration,Germany,1994,120.0,0.035,0.8111164933378188,-9.396343131238927
Air Liquide - THX Is On,Germany,1994,124.0,0.035,0.8881268299436185,-8.808385070267356
Air Liquide - Twice Zero Is Zero,Germany,1994,143.5546875,0.04,0.819278297776599,-8.010235374660619
Air Liquide - Unser Elektronischer Mikrokosmos,Germany,1992,154.0,0.0325,0.966249695870561,-9.53028452148778
Al-Faris - A Trip To Basra,Germany,1994,159.01442307692307,0.025,0.4886036298468384,-12.802202338016915
Al-Faris - Dschesiret El-Arab,Germany,1994,161.4990234375,0.0375,0.8422936484473053,-8.69349713672137
Alcatraz - Bastardo,Germany,1994,164.0,0.0325,0.9915484378076201,-9.902497888660967
Alcatraz - Orbital,Germany,1994,146.0,0.0325,0.9885941775190094,-9.123525687241598
Alcatraz - Taurus,Germany,1994,166.70866935483872,0.0325,0.9879801433155615,-9.51338124371252
Alien Christ - Of Suns And Moons,Germany,1991,129.19921875,0.0275,0.8846926289132279,-10.978987762499742
Alien Christ - Of Suns And Moons (Phase II),Germany,1991,127.0,0.04,0.872126625747104,-7.884387561787437
Alien Christ - Of Suns And Moons (Phase III),Germany,1992,129.19921875,0.0375,0.9868551251061624,-8.291691344938648
Alien Christ - Of Suns And Moons (Phase5),Germany,1993,135.99917763157896,0.065,0.8816552480319045,-3.1560180408250065
Alien Christ - The Art Of Shredding,Germany,1992,129.19921875,0.0225,0.8598431670603922,-13.241570346987803
Alien Christ - The Eagle Has Landed,Germany,1993,132.51201923076923,0.06,0.9525042688574064,-3.8736928177169565
Alien Christ - The Frequencies Of Fear,Germany,1993,134.0,0.045,0.9154050774779492,-6.415867364631604
Alien Factory - All Night Until Day Light,Germany,1993,161.4990234375,0.04,0.9771481619069572,-7.674701129892993
Alien Factory - Alpha Music,Germany,1993,166.70866935483872,0.035,0.1842330371693265,-8.73136789408203
Alien Factory - Beta Music (Hanover Rmx),Germany,1993,163.0,0.0625,0.8722184270524396,-3.089731346263021
Alien Factory - Beta Music (Lo Budget Rmx),Germany,1993,179.0,0.05,0.7597833872119456,-5.528272190084048
Alien Factory - Beta Music (UCT Rmx),Germany,1993,162.0,0.035,0.934211484220542,-9.016470049968728
Alien Factory - Big Brother (Heavy Mix),Germany,1993,139.6748310810811,0.0575,0.9976864439181485,-4.879450804130173
Alien Factory - Big Brother (Trance Mix),Germany,1993,161.4990234375,0.0525,0.9929033646280577,-5.543366568141617
Alien Factory - Delta Music,Germany,1993,164.0625,0.0375,0.4486967432423032,-8.74585016814352
Alien Factory - Destiny,Germany,1994,169.44159836065575,0.03,0.8814830899390199,-10.0903209721718
Alien Factory - Destiny (Break-It-Mix),Germany,1994,169.44159836065575,0.035,0.9158730938313056,-8.985319500835127
Alien Factory - Gamma Music,Germany,1993,166.70866935483872,0.0375,0.7496577046256724,-8.509775911762826
Alien Factory - Muggovey,Germany,1993,154.267723880597,0.035,0.9845410827578869,-9.305271705687142
Alien Factory - Tell Death You Don't Wanna Die!,Germany,1993,149.7961956521739,0.05,0.9475903701630493,-5.91002913623084
Alien Factory - This Is Not A Daydream,Germany,1994,165.0,0.045,0.9577835426956417,-6.840980291866073
Alien Factory - Tomorrow,Germany,1994,170.0,0.065,0.54489242976655,-3.5534262024706904
Alien Factory - Tomorrow (Remix),Germany,1994,164.0,0.06,0.8308130852670789,-3.7863795649784655
Alien Factory - Tranquility,Germany,1993,150.0,0.035,0.9655995308273335,-8.975562407239376
Alien Nation - House In The Desert (Sheik It Up Mix),Germany,1989,120.18531976744184,0.045,0.7185365109231819,-6.469015090518687
Alien Nation - Lovers Of The World (Regenerated),Germany,1991,120.18531976744184,0.045,0.8343713481535249,-6.830420928336526
Alien Nation - Lovers Of The World (Tranceformed II),Germany,1991,120.18531976744184,0.0525,0.791368214649876,-5.4631405995357385
All in Vain - Trance Music Was Born (Extended Version),Germany,1993,139.6748310810811,0.04,0.8655625569334403,-7.822683664073909
All in Vain - Trance Music Was Born (Original Version),Germany,1993,139.6748310810811,0.0375,0.7210468678388037,-8.490402431825952
All in Vain - Trance Music Was Born (Ragga Trance Mix),Germany,1993,139.6748310810811,0.0375,0.8196585450441944,-8.738593623874028
Alter Ego - Atomic Playground,Germany,1994,50.0,0.0275,0.6194016629832533,-11.78294175344008
Alter Ego - Chinese Eyes,Germany,1994,70.0,0.0175,0.8626723683089337,-16.413359428939472
Alter Ego - Nude Restaurant,Germany,1994,90.0,0.0325,0.7386968586823985,-10.080067985524428
Alter Ego - Sentimental Books,Germany,1994,60.0,0.02,0.7174240811169597,-14.952439703433258
Alter Ego - Soulfree,Germany,1994,109.0,0.025,0.5273103222592777,-12.034575545310435
Alter Ego - Soulfree (Holy Garage Remix),Germany,1994,132.51201923076923,0.0275,0.9762624332908264,-11.629310715200237
Alter Ego - Tanks Ahead,Germany,1994,123.0,0.025,0.8345872080146877,-12.027803308561529
Alter Ego - Undersea Girl,Germany,1994,100.0,0.04,0.6644902543959086,-7.751786992601631
Alternate States - Alternate States (Part I),Germany,1991,129.19921875,0.04,0.9870249782274158,-8.026123705756762
Alternate States - Alternate States (Part II),Germany,1991,129.19921875,0.0525,0.9963248488891008,-5.259161000247308
Alternate States - Alternate States (Part III),Germany,1991,123.046875,0.055,0.9879441789262832,-4.871702094806448
Alternate States - Nothing But Pain,Germany,1994,168.0,0.0525,0.5972261544867538,-5.215137510972908
Alternate States - Welcome To Hell,Germany,1994,164.0625,0.075,0.9651555881838416,-2.2407538671038423
Alternative Energy - Energy 1 (Linda Richards),Germany,1992,132.51201923076923,0.0375,0.9547258867144548,-8.329632738736766
Alternative Energy - Energy 2 (Sex),Germany,1992,135.99917763157896,0.04,0.8979267120169147,-7.538523953611197
Alternative Energy - Energy 3 (Extremly Dangerous),Germany,1992,135.99917763157896,0.04,0.8847900598987731,-6.563097605319603
Amokk - Chicago,Germany,1992,129.19921875,0.065,0.9923756844246876,-3.664114875087359
Amokk - Hardcore,Germany,1992,129.19921875,0.045,0.8935047790841236,-6.481453577042919
Amokk - Radarlove,Germany,1992,123.046875,0.03,0.9528962561604264,-10.401870093958738
Amokk - Wake Up!,Germany,1992,129.19921875,0.05,0.8348908817689185,-5.545847995723928
Amorph - Alien Voices,Germany,1994,129.0,0.0275,0.8699635094106857,-11.45941237408878
Amorph - Astronaut,Germany,1994,161.4990234375,0.025,0.903605945823426,-12.036429851036585
Amorph - Emotional Experience,Germany,1993,135.99917763157896,0.05,0.5850830927639323,-5.675314551309839
Amorph - Fractal Accident,Germany,1993,156.60511363636363,0.0275,0.8710600933325904,-11.033038394736664
Amorph - Gemini,Germany,1994,161.4990234375,0.0375,0.906454957191007,-8.28004790681567
Amorph - Lotos,Germany,1994,130.0,0.0375,0.9636617986029644,-8.029575100586605
Amorph - Meryn,Germany,1994,156.60511363636363,0.0375,0.9348567098005744,-8.107044946897993
Amorph - Moonflow,Germany,1994,143.5546875,0.0325,0.8947721311825563,-10.14262909776031
Amorph - Navigator,Germany,1994,151.99908088235293,0.0525,0.8171360016426742,-5.059850374241952
Amorph - Overscan,Germany,1994,143.5546875,0.035,0.8201816007887976,-8.987342924027981
Amorph - Parazyt,Germany,1994,143.5546875,0.05,0.9548509127903361,-5.701042216143769
Amorph - The Dream,Germany,1993,156.60511363636363,0.035,0.934220156602394,-9.124500342074985
Amorph Morphide - Emotional Experience,Germany,1994,135.99917763157896,0.0575,0.6572305184766836,-4.374952087608425
Analog Signal - Analog Signal,Germany,1994,156.0,0.05,0.9510751854208114,-5.779474661995496
Analog Vogue - Odysse,Germany,1993,147.65625,0.0475,0.8342687948359649,-6.226599046075863
Analog Vogue - SwayEr,Germany,1993,138.0,0.045,0.7929784200057872,-6.9290665133029306
Analog Vogue - SwayEx,Germany,1993,143.5546875,0.0575,0.93645148767674,-4.688331354239807
Analog Vogue - SynRmx,Germany,1993,147.65625,0.08,0.9162060614158039,-1.532141763812711
Analogue - Blackout,Germany,1992,143.0,0.0425,0.7920457953215903,-6.945563447270821
Analogue - Entrance To Infinity,Germany,1992,143.5546875,0.0375,0.8762589449797061,-8.053247328618738
Analogue - Phases Pro One,Germany,1992,129.19921875,0.0425,0.9030510837806004,-6.998802357402223
Analogue - Spacid 303,Germany,1993,132.51201923076923,0.0375,0.8845690496055236,-8.559789890227433
Analogue - Spacid 303 (Remix 1994),Germany,1994,132.51201923076923,0.045,0.8692213881577515,-6.937635235461083
Analogue - Torus (Retrospective),Germany,1992,129.19921875,0.035,0.9215562256037472,-8.833709065926858
Analogue - Tricky,Germany,1992,139.6748310810811,0.0275,0.9472279243810383,-11.582220484086982
Andreas Dorau - Stoned Faces Don't Lie (Hooligan Remix),Germany,1994,151.99908088235293,0.0475,0.9580048275599098,-5.574729416107919
Andreas Leifeld - Call Me,Germany,1994,132.51201923076923,0.0325,0.45843726076915003,-9.705509270258332
Andromeda - Dream Frequencies,Germany,1993,151.99908088235293,0.0225,0.7075975186742989,-13.004291612495246
Andromeda - Trip To Space,Germany,1993,151.99908088235293,0.0425,0.8783652879818064,-6.997583906796512
Angel Heart - Carnevale 303,Germany,1994,132.51201923076923,0.0475,0.97000948832877,-6.299226289815062
Angel Heart - Far Far Away,Germany,1994,143.5546875,0.04,0.8858659990183853,-7.804859076124753
Angel Heart - Far Far Away (Heart Core Mix),Germany,1994,125.0,0.035,0.9497246678268916,-8.823133073554754
Animation - Balanced Release (Circle Line Version),Germany,1994,151.99908088235293,0.035,0.8980473299296872,-9.215424968159953
